T,BT,QT,TotImplVar,rT
0.0465444191188046,1.00008518347135,0.998017779347264,0.000915375460973728,-0.00183007640992574
0.0520202331327816,1.00012411652814,0.998062567888841,0.00110925343156664,-0.0023857798945914
0.0574960471467587,0.999955407982604,0.997852509943393,0.00131328482279593,0.000775583955113807
0.0657097681677242,0.99971178740365,0.997626094553778,0.00144781633038266,0.00438677757692058
0.0711855821817012,0.999748728726967,0.997690426121263,0.00166322630784898,0.00353024923371565
0.0766613961956782,0.999732278373202,0.997603359896819,0.00191553413465113,0.0034927288559548
0.0848751172166437,1.00005716475338,0.9979951979203,0.00205911023029038,-0.000673496796335382
0.0958267452445978,0.999605436218319,0.997440199567085,0.0026596993099749,0.0041182828598004
0.114992094293517,0.999645478197206,0.997218937241047,0.00330452312226746,0.00308355685391847
0.134157443342437,0.999341583689081,0.996638363980298,0.00395676225085871,0.00490940454528495
0.153322792391356,0.999368955429521,0.996629116340359,0.00470546512273083,0.00411709017988961
0.16427442041931,0.999227502375002,0.996417294865946,0.00491302978047094,0.00470429999429221
0.210818839538115,0.998646686562931,0.995634644741965,0.00698768021075759,0.00642366685863545
0.246411630628966,0.998242911803258,0.995311813282824,0.00835401207384506,0.00713697515965129
0.287480235733793,0.997638543571785,0.99483903761038,0.0100947774220166,0.0082240403683265
0.325810933831632,0.996661254060219,0.994165178819985,0.012002246231432,0.0102646401388101
0.383306980978391,0.996259580238988,0.993816752662292,0.0145917392946645,0.00977658328650916
0.416161865062253,0.995486286975266,0.993149971078646,0.0162400543855516,0.0108706033994129
0.459968377174069,0.994671721476667,0.992380933878113,0.018184773216603,0.0116149820098337
0.498299075271908,0.993852505189296,0.992132820287826,0.0201599183627416,0.0123750349201266
0.555795122418667,0.992778153623027,0.991761172343043,0.0228374158162763,0.0130408667746563
0.632456518614345,0.990937824389926,0.990586728891123,0.026751654666604,0.0143938541622972
0.709117914810024,0.989060532002555,0.989560010685667,0.0302369364783244,0.0155118686783108
0.747448612907863,0.987164507456391,0.988830355274961,0.0319344952006735,0.0172835683857046
0.804944660054621,0.98608989716488,0.988894458790226,0.0340730983799431,0.0174021341285723
0.881606056250299,0.983674206557952,0.987754673918484,0.0393315722253287,0.0186710691609547
0.958267452445978,0.981242809145395,0.986383533658155,0.041459848544338,0.0197599721492242
0.996598150543817,0.980115199401562,0.98618082331061,0.0434034146024412,0.0201537237504509
1.05409419769058,0.978344546410205,0.985619156896841,0.0459061003823063,0.0207698458964416
