BT,QT,TotImplVar,rT
1.00008518347135,0.998017779347264,0.000909596067122005,-0.00183007640992574
1.00012411652814,0.998062567888841,0.00110332222601751,-0.0023857798945914
0.999955407982604,0.997852509943393,0.00130581618545136,0.000775583955113807
0.99971178740365,0.997626094553778,0.0014386939817545,0.00438677757692058
0.999748728726967,0.997690426121263,0.00165400986131947,0.00353024923371565
0.999732278373202,0.997603359896819,0.00190515697524948,0.0034927288559548
1.00005716475338,0.9979951979203,0.00205094151092064,-0.000673496796335382
0.999605436218319,0.997440199567085,0.00264629404742221,0.0041182828598004
0.999645478197206,0.997218937241047,0.00328754668151551,0.00308355685391847
0.999341583689081,0.996638363980298,0.00393206690133792,0.00490940454528495
0.999368955429521,0.996629116340359,0.00467815512933385,0.00411709017988961
0.999227502375002,0.996417294865946,0.00488248863210291,0.00470429999429221
0.998646686562931,0.995634644741965,0.00693794553649148,0.00642366685863545
0.998242911803258,0.995311813282824,0.00829266029233477,0.00713697515965129
0.997638543571785,0.99483903761038,0.0100157746737149,0.0082240403683265
0.996661254060219,0.994165178819985,0.0118977866673838,0.0102646401388101
0.996259580238988,0.993816752662292,0.0144628355399256,0.00977658328650916
0.995486286975266,0.993149971078646,0.0160812790638104,0.0108706033994129
0.994671721476667,0.992380933878113,0.0179873345347671,0.0116149820098337
0.993852505189296,0.992132820287826,0.0199385084855599,0.0123750349201266
0.992778153623027,0.991761172343043,0.0225803172069409,0.0130408667746563
0.990937824389926,0.990586728891123,0.0264096286547152,0.0143938541622972
0.989060532002555,0.989560010685667,0.0298100884424919,0.0155118686783108
0.987164507456391,0.988830355274961,0.0314503846896188,0.0172835683857046
0.98608989716488,0.988894458790226,0.0335687161537093,0.0174021341285723
0.983674206557952,0.987754673918484,0.0386963855452948,0.0186710691609547
0.981242809145395,0.986383533658155,0.0407049974135964,0.0197599721492242
0.980115199401562,0.98618082331061,0.0426074815813417,0.0201537237504509
0.978344546410205,0.985619156896841,0.0450332704889092,0.0207698458964416
